1,Titan NFT #001,Unique,black_gradient,silver,Tokamak Bridge,Titan Link,,,,,,,,,,,,
2,Titan NFT #002,Normal,mint,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
3,Titan NFT #003,Normal,red,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
4,Titan NFT #004,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
5,Titan NFT #005,Normal,yellow,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
6,Titan NFT #006,Normal,red,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
7,Titan NFT #007,Titan,gold,gold,Titan,Titan Link,,,,,,,,,,,,
8,Titan NFT #008,Normal,mint,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
9,Titan NFT #009,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
10,Titan NFT #010,Normal,mint,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
11,Titan NFT #011,Normal,navy,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
12,Titan NFT #012,Titan,blue_gradient,blue_gradient,Titan,Titan Link,,,,,,,,,,,,
13,Titan NFT #013,Normal,blue,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
14,Titan NFT #014,Normal,navy,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
15,Titan NFT #015,Unique,black_gradient,silver,Tokamak Bridge,Titan Link,,,,,,,,,,,,
16,Titan NFT #016,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
17,Titan NFT #017,Normal,green,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
18,Titan NFT #018,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
19,Titan NFT #019,Normal,mint,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
20,Titan NFT #020,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
21,Titan NFT #021,Normal,navy,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
22,Titan NFT #022,Normal,green,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
23,Titan NFT #023,Unique,black_gradient,silver,Tokamak Bridge,Titan Link,,,,,,,,,,,,
24,Titan NFT #024,Normal,purple,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
25,Titan NFT #025,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
26,Titan NFT #026,Normal,red,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
27,Titan NFT #027,Normal,navy,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
28,Titan NFT #028,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
29,Titan NFT #029,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
30,Titan NFT #030,Unique,black_gradient,silver,Tokamak Bridge,Titan Link,,,,,,,,,,,,
31,Titan NFT #031,Normal,mint,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
32,Titan NFT #032,Normal,purple,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
33,Titan NFT #033,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
34,Titan NFT #034,Normal,yellow,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
35,Titan NFT #035,Normal,blue,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
36,Titan NFT #036,Normal,green,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
37,Titan NFT #037,Unique,black_gradient,silver,Tokamak Bridge,Titan Link,,,,,,,,,,,,
38,Titan NFT #038,Normal,purple,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
39,Titan NFT #039,Normal,green,gray,TONStarter,TONStarter Link,,,,,,,,,,,,
40,Titan NFT #040,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
41,Titan NFT #041,Normal,yellow,gray,Tokamak Blue,DAO Link,,,,,,,,,,,,
42,Titan NFT #042,Rare,skyblue_gradient,skyblue_gradient,Tokamak White,Tokamak Link,,,,,,,,,,,,
